variable,province,lisa_cluster,grid_count,share_within_province
festival_pre_exposure_change,江苏,Low-High,11,0.011258955987717503
festival_pre_exposure_change,江苏,Not significant,286,0.29273285568065505
festival_pre_exposure_change,江苏,NoData,1,0.0010235414534288639
festival_pre_exposure_change,江西,High-High,114,0.06900726392251816
festival_pre_exposure_change,江西,Low-Low,15,0.009079903147699757
festival_pre_exposure_change,江西,High-Low,27,0.016343825665859565
festival_pre_exposure_change,江西,Low-High,11,0.006658595641646489
festival_pre_exposure_change,江西,Not significant,1483,0.8976997578692494
festival_pre_exposure_change,江西,NoData,2,0.0012106537530266344
festival_pre_exposure_change,河北,High-High,910,0.5030403537866225
festival_pre_exposure_change,河北,Low-Low,0,0.0
festival_pre_exposure_change,河北,High-Low,0,0.0
festival_pre_exposure_change,河北,Low-High,32,0.017689331122166942
festival_pre_exposure_change,河北,Not significant,867,0.4792703150912106
festival_pre_exposure_change,河北,NoData,0,0.0
festival_pre_exposure_change,河南,High-High,1229,0.7690863579474343
festival_pre_exposure_change,河南,Low-Low,0,0.0
festival_pre_exposure_change,河南,High-Low,0,0.0
festival_pre_exposure_change,河南,Low-High,76,0.04755944931163955
festival_pre_exposure_change,河南,Not significant,293,0.18335419274092615
festival_pre_exposure_change,河南,NoData,0,0.0
festival_pre_exposure_change,浙江,High-High,0,0.0
festival_pre_exposure_change,浙江,Low-Low,616,0.616
festival_pre_exposure_change,浙江,High-Low,21,0.021
festival_pre_exposure_change,浙江,Low-High,0,0.0
festival_pre_exposure_change,浙江,Not significant,363,0.363
festival_pre_exposure_change,浙江,NoData,0,0.0
festival_pre_exposure_change,海南,High-High,0,0.0
festival_pre_exposure_change,海南,Low-Low,47,0.13352272727272727
festival_pre_exposure_change,海南,High-Low,0,0.0
festival_pre_exposure_change,海南,Low-High,0,0.0
festival_pre_exposure_change,海南,Not significant,304,0.8636363636363636
festival_pre_exposure_change,海南,NoData,1,0.002840909090909091
festival_pre_exposure_change,湖北,High-High,296,0.16371681415929204
festival_pre_exposure_change,湖北,Low-Low,55,0.030420353982300884
festival_pre_exposure_change,湖北,High-Low,36,0.01991150442477876
festival_pre_exposure_change,湖北,Low-High,17,0.009402654867256638
