variable,province,lisa_cluster,grid_count,share_within_province
post_festival_exposure_change,江苏,Not significant,346,0.3541453428863869
post_festival_exposure_change,江苏,NoData,1,0.0010235414534288639
post_festival_exposure_change,江西,High-High,0,0.0
post_festival_exposure_change,江西,Low-Low,797,0.4824455205811138
post_festival_exposure_change,江西,High-Low,192,0.1162227602905569
post_festival_exposure_change,江西,Low-High,0,0.0
post_festival_exposure_change,江西,Not significant,661,0.4001210653753027
post_festival_exposure_change,江西,NoData,2,0.0012106537530266344
post_festival_exposure_change,河北,High-High,64,0.035378662244333885
post_festival_exposure_change,河北,Low-Low,703,0.38861249309010504
post_festival_exposure_change,河北,High-Low,29,0.016030956329463792
post_festival_exposure_change,河北,Low-High,14,0.007739082365948038
post_festival_exposure_change,河北,Not significant,999,0.5522388059701493
post_festival_exposure_change,河北,NoData,0,0.0
post_festival_exposure_change,河南,High-High,17,0.010638297872340425
post_festival_exposure_change,河南,Low-Low,1232,0.7709637046307884
post_festival_exposure_change,河南,High-Low,109,0.06821026282853566
post_festival_exposure_change,河南,Low-High,36,0.02252816020025031
post_festival_exposure_change,河南,Not significant,204,0.1276595744680851
post_festival_exposure_change,河南,NoData,0,0.0
post_festival_exposure_change,浙江,High-High,309,0.309
post_festival_exposure_change,浙江,Low-Low,15,0.015
post_festival_exposure_change,浙江,High-Low,5,0.005
post_festival_exposure_change,浙江,Low-High,67,0.067
post_festival_exposure_change,浙江,Not significant,604,0.604
post_festival_exposure_change,浙江,NoData,0,0.0
post_festival_exposure_change,海南,High-High,0,0.0
post_festival_exposure_change,海南,Low-Low,0,0.0
post_festival_exposure_change,海南,High-Low,0,0.0
post_festival_exposure_change,海南,Low-High,0,0.0
post_festival_exposure_change,海南,Not significant,351,0.9971590909090909
post_festival_exposure_change,海南,NoData,1,0.002840909090909091
post_festival_exposure_change,湖北,High-High,26,0.014380530973451327
post_festival_exposure_change,湖北,Low-Low,787,0.435287610619469
post_festival_exposure_change,湖北,High-Low,115,0.06360619469026549
post_festival_exposure_change,湖北,Low-High,27,0.014933628318584071
post_festival_exposure_change,湖北,Not significant,853,0.4717920353982301
post_festival_exposure_change,湖北,NoData,0,0.0
post_festival_exposure_change,湖南,High-High,0,0.0
post_festival_exposure_change,湖南,Low-Low,1257,0.6017233125897559
post_festival_exposure_change,湖南,High-Low,204,0.09765438008616563
post_festival_exposure_change,湖南,Low-High,0,0.0
post_festival_exposure_change,湖南,Not significant,626,0.2996649114408808
post_festival_exposure_change,湖南,NoData,2,0.0009573958831977022
post_festival_exposure_change,澳门,High-High,0,0.0
post_festival_exposure_change,澳门,Low-Low,0,0.0
post_festival_exposure_change,澳门,High-Low,0,0.0
post_festival_exposure_change,澳门,Low-High,0,0.0
post_festival_exposure_change,澳门,Not significant,1,1.0
post_festival_exposure_change,澳门,NoData,0,0.0
post_festival_exposure_change,甘肃,High-High,46,0.015672913117546847
post_festival_exposure_change,甘肃,Low-Low,48,0.016354344122657582
post_festival_exposure_change,甘肃,High-Low,3,0.0010221465076660989
post_festival_exposure_change,甘肃,Low-High,5,0.0017035775127768314
post_festival_exposure_change,甘肃,Not significant,2473,0.8425894378194208
post_festival_exposure_change,甘肃,NoData,360,0.12265758091993186
post_festival_exposure_change,福建,High-High,36,0.02987551867219917
post_festival_exposure_change,福建,Low-Low,101,0.08381742738589211
post_festival_exposure_change,福建,High-Low,25,0.02074688796680498
post_festival_exposure_change,福建,Low-High,15,0.012448132780082987
post_festival_exposure_change,福建,Not significant,1026,0.8514522821576763
post_festival_exposure_change,福建,NoData,2,0.0016597510373443983
post_festival_exposure_change,西藏,High-High,1,0.00023326335432703523
post_festival_exposure_change,西藏,Low-Low,0,0.0
post_festival_exposure_change,西藏,High-Low,18,0.004198740377886634
post_festival_exposure_change,西藏,Low-High,0,0.0
post_festival_exposure_change,西藏,Not significant,2640,0.615815255423373
post_festival_exposure_change,西藏,NoData,1628,0.37975274084441335
post_festival_exposure_change,贵州,High-High,54,0.03098106712564544
post_festival_exposure_change,贵州,Low-Low,7,0.004016064257028112
post_festival_exposure_change,贵州,High-Low,1,0.0005737234652897303
post_festival_exposure_change,贵州,Low-High,10,0.005737234652897304
post_festival_exposure_change,贵州,Not significant,1671,0.9586919104991394
post_festival_exposure_change,贵州,NoData,0,0.0
post_festival_exposure_change,辽宁,High-High,122,0.08640226628895184
post_festival_exposure_change,辽宁,Low-Low,27,0.019121813031161474
post_festival_exposure_change,辽宁,High-Low,4,0.0028328611898017
post_festival_exposure_change,辽宁,Low-High,9,0.006373937677053824
post_festival_exposure_change,辽宁,Not significant,1250,0.8852691218130312
post_festival_exposure_change,辽宁,NoData,0,0.0
post_festival_exposure_change,重庆,High-High,0,0.0
post_festival_exposure_change,重庆,Low-Low,363,0.44981412639405205
post_festival_exposure_change,重庆,High-Low,52,0.0644361833952912
post_festival_exposure_change,重庆,Low-High,0,0.0
post_festival_exposure_change,重庆,Not significant,392,0.4857496902106567
post_festival_exposure_change,重庆,NoData,0,0.0
post_festival_exposure_change,陕西,High-High,22,0.01112797167425392
post_festival_exposure_change,陕西,Low-Low,229,0.11583206879109763
post_festival_exposure_change,陕西,High-Low,78,0.03945371775417299
post_festival_exposure_change,陕西,Low-High,32,0.01618614061709661
post_festival_exposure_change,陕西,Not significant,1596,0.8072837632776935
post_festival_exposure_change,陕西,NoData,20,0.010116337885685382
post_festival_exposure_change,青海,High-High,0,0.0
post_festival_exposure_change,青海,Low-Low,0,0.0
post_festival_exposure_change,青海,High-Low,12,0.004262877442273535
post_festival_exposure_change,青海,Low-High,0,0.0
post_festival_exposure_change,青海,Not significant,2025,0.7193605683836589
post_festival_exposure_change,青海,NoData,778,0.2763765541740675
post_festival_exposure_change,香港,High-High,2,0.2222222222222222
post_festival_exposure_change,香港,Low-Low,0,0.0
post_festival_exposure_change,香港,High-Low,0,0.0
post_festival_exposure_change,香港,Low-High,7,0.7777777777777778
post_festival_exposure_change,香港,Not significant,0,0.0
post_festival_exposure_change,香港,NoData,0,0.0
post_festival_exposure_change,黑龙江,High-High,214,0.05637513171759747
post_festival_exposure_change,黑龙江,Low-Low,0,0.0
post_festival_exposure_change,黑龙江,High-Low,1,0.00026343519494204424
post_festival_exposure_change,黑龙江,Low-High,0,0.0
post_festival_exposure_change,黑龙江,Not significant,3324,0.8756585879873551
post_festival_exposure_change,黑龙江,NoData,257,0.06770284510010538
