comparison,model,r2,rmse,mae,n_train,n_test,n_features,features
post_festival,B0_RF,0.755014198298643,34471205.1124898,6208830.510994059,31509,13504,4,post_festival_count_change | festival_mean_count | festival_mean_pm25 | road_density_m_per_km2
post_festival,B0_XGBoost,0.6515693308866313,41109689.48384625,7252757.953934574,31509,13504,4,post_festival_count_change | festival_mean_count | festival_mean_pm25 | road_density_m_per_km2
post_festival,B1_RF,0.8722376188764133,24893588.575951546,2606645.4612868316,31509,13504,13,post_festival_count_change | festival_mean_count | festival_count_cv | festival_day_night_ratio | festival_daily_relative_amplitude | festival_mean_pm25 | post_festival_pm25_change | post_festival_temperature_change | post_festival_precipitation_change | post_festival_wind_speed_change | road_density_m_per_km2 | built_up_ratio | nighttime_light_2018
post_festival,B1_XGBoost,0.8556433574649545,26460886.823752448,3051509.905488001,31509,13504,13,post_festival_count_change | festival_mean_count | festival_count_cv | festival_day_night_ratio | festival_daily_relative_amplitude | festival_mean_pm25 | post_festival_pm25_change | post_festival_temperature_change | post_festival_precipitation_change | post_festival_wind_speed_change | road_density_m_per_km2 | built_up_ratio | nighttime_light_2018
