comparison,analysis_target,model,r2,rmse,mae,n_train,n_test,n_features,features
post_festival,mobility,B0_RF,0.6107477850927441,53398444.120774016,10523846.052646019,31509,13504,3,festival_mean_count | road_density_m_per_km2 | gdp_2018
post_festival,mobility,B0_XGBoost,0.5113802042055824,59827187.34116993,11359937.333300635,31509,13504,3,festival_mean_count | road_density_m_per_km2 | gdp_2018
post_festival,mobility,B1_RF,0.7722639321011263,40844065.670331575,7744948.990425924,31509,13504,10,festival_mean_count | festival_count_cv | festival_day_night_ratio | festival_daily_relative_amplitude | post_festival_temperature_change | post_festival_precipitation_change | post_festival_wind_speed_change | road_density_m_per_km2 | built_up_ratio | nighttime_light_2018
post_festival,mobility,B1_XGBoost,0.7131065244748095,45843038.242796086,8352538.020576397,31509,13504,10,festival_mean_count | festival_count_cv | festival_day_night_ratio | festival_daily_relative_amplitude | post_festival_temperature_change | post_festival_precipitation_change | post_festival_wind_speed_change | road_density_m_per_km2 | built_up_ratio | nighttime_light_2018
