comparison,model,r2,rmse,mae,n_train,n_test,n_features,features
festival_pre,B0_RF,0.5116458235233874,62654844.48700473,15077376.36479176,28161,12069,5,festival_pre_count_change | pre_mean_count | pre_mean_pm25 | gdp_2018 | road_density_m_per_km2
festival_pre,B0_XGBoost,0.4436102613926436,66876996.316065736,16593208.409968639,28161,12069,5,festival_pre_count_change | pre_mean_count | pre_mean_pm25 | gdp_2018 | road_density_m_per_km2
festival_pre,B1_RF,0.9180222038648004,25670558.803971533,2956310.6833993034,28161,12069,13,festival_pre_count_change | pre_mean_count | pre_count_cv | pre_day_night_ratio | pre_daily_relative_amplitude | pre_mean_pm25 | festival_pre_pm25_change | festival_pre_temperature_change | festival_pre_precipitation_change | festival_pre_wind_speed_change | road_density_m_per_km2 | built_up_ratio | nighttime_light_2018
festival_pre,B1_XGBoost,0.886156917779779,30251055.055626832,4012702.4447147194,28161,12069,13,festival_pre_count_change | pre_mean_count | pre_count_cv | pre_day_night_ratio | pre_daily_relative_amplitude | pre_mean_pm25 | festival_pre_pm25_change | festival_pre_temperature_change | festival_pre_precipitation_change | festival_pre_wind_speed_change | road_density_m_per_km2 | built_up_ratio | nighttime_light_2018
